,0,TF
55621|POU3F3,0.06187970252360254,POU3F3
41363|PHF20,0.06511213382901765,PHF20
38476|RYBP,0.06540377337867305,RYBP
37802|ARNTL,0.06775645795518145,ARNTL
44167|ELK3,0.06804317253520516,ELK3
5372|SS18,0.06836265796558236,SS18
54454|SLC5A5,0.06875716697161001,SLC5A5
36803|PITX1,0.07087280881699079,PITX1
32904|TMPRSS4,0.07630669913970828,TMPRSS4
37716|PRDM4,0.07698866454727465,PRDM4
34590|THRA,0.07751027561374477,THRA
37792|NPAS2,0.07861079076300626,NPAS2
52258|ETV2,0.07958846745657473,ETV2
37823|PER1,0.08001121535378744,PER1
51961|ZIC3,0.08270753075565027,ZIC3
58027|NEUROD1,0.08311279909306028,NEUROD1
9103|TEAD4,0.08329186284791755,TEAD4
32973|FOXO3,0.08751316701423259,FOXO3
32911|BRDU,0.08751316701423259,BRDU
57970|HMGA2,0.08751316701423259,HMGA2
32919|SMC5,0.08751316701423259,SMC5
48962|H3Pan,0.08751316701423259,H3Pan
9164|KDM4D,0.0876153102940499,KDM4D
33103|ZNF335,0.0876153102940499,ZNF335
33117|KDM5A,0.0876153102940499,KDM5A
49163|CBX5,0.0876153102940499,CBX5
8336|SOX11,0.08780029336724018,SOX11
52177|RARA,0.0880961252261685,RARA
47461|TWIST1,0.08827024364744544,TWIST1
52226|E4F1,0.08863082499210227,E4F1
44157|SPNS1,0.088667884407196,SPNS1
4397|MAFA,0.08940814478279872,MAFA
57973|TET3,0.09236977206525268,TET3
48851|KDM4A,0.0950566709792613,KDM4A
56606|SATB2,0.09632607994219197,SATB2
55310|TRIM63,0.09871066468913242,TRIM63
32921|BRCA1,0.09926223592065907,BRCA1
38314|SIX2,0.09941626312214853,SIX2
42959|PARP14,0.10073490129625381,PARP14
416|LBR,0.10394173952826674,LBR
39128|KAT8,0.10437461661492588,KAT8
48959|NUCKS1,0.10760501485769927,NUCKS1
8841|ELL,0.10776208363953411,ELL
56517|CBX2,0.11032720638997012,CBX2
49165|SUV39H1,0.11154249253641821,SUV39H1
4410|NFIC,0.11380380078809461,NFIC
53433|HNRNPL,0.11475826840380887,HNRNPL
41606|TFAP2A,0.11503465938735612,TFAP2A
41978|EHMT2,0.1154397344225228,EHMT2
48581|HSF2,0.11587232535981297,HSF2
37690|ELL3,0.11859433595668054,ELL3
2630|CHD7,0.11914915672097799,CHD7
35314|TNNI2,0.11967098415311855,TNNI2
56493|EP400,0.1199562714372791,EP400
48644|ARID3A,0.12079642416228865,ARID3A
34037|GLI3,0.1214226579586698,GLI3
58298|RFX2,0.12176876065863182,RFX2
33044|SRSF1,0.12723957329291385,SRSF1
51237|NLRC5,0.1273956700985055,NLRC5
4392|MTF2,0.12807011206604763,MTF2
43830|PARP1,0.1315925248930892,PARP1
54238|BARX1,0.1316698038362087,BARX1
37826|PER2,0.13416554472597433,PER2
3295|GTF2F1,0.1343352104306791,GTF2F1
55793|DAXX,0.13705713612227965,DAXX
44448|OVOL2,0.13817201829357567,OVOL2
53728|SMCHD1,0.14246747640123447,SMCHD1
8976|ZFP42,0.1433526792177363,ZFP42
50744|HAND1,0.1433526792177363,HAND1
52987|KDM3A,0.1441438207266963,KDM3A
44213|NCOA1,0.14415858126619793,NCOA1
48099|TNFSF11,0.14629530585317238,TNFSF11
39316|TFE3,0.14893187043825531,TFE3
44368|KMT2A,0.15150806076760664,KMT2A
50849|WT1 ,0.15297672743992982,WT1 
43674|CRY1,0.15439167541460766,CRY1
35593|CLK1,0.1565851552787681,CLK1
50383|PWP1,0.15848545697760769,PWP1
3039|CRX,0.15943547438902542,CRX
5463|KDM5B,0.1629215341652753,KDM5B
56595|BAZ1B,0.16548127033890775,BAZ1B
51358|PRDM9,0.1658609697533605,PRDM9
33052|HEXIM1,0.16633573401259083,HEXIM1
36721|TOP2A,0.16761177878059624,TOP2A
34088|HIST1H1D,0.16823128355334904,HIST1H1D
43872|Ubiquitin,0.16847077434594657,Ubiquitin
5097|BRD2,0.16850082598357066,BRD2
44828|GSK3B,0.17273635161076975,GSK3B
36846|PTF1A,0.1780065593331921,PTF1A
34603|USF1,0.17970169729622917,USF1
48849|GPS2,0.18220245617484568,GPS2
44547|NUP98PHF23,0.18623887846784742,NUP98PHF23
421|NR5A2,0.1874141519791659,NR5A2
44152|MKL1,0.1882017350007025,MKL1
1531|NKX2-5,0.19367522229585543,NKX2-5
5414|NR1H2,0.19554745026463197,NR1H2
34441|TET2,0.2001489702460132,TET2
54355|KCR,0.20071901359825156,KCR
50683|RFX6,0.20148651394256567,RFX6
39311|NCAPD3,0.20281424655618052,NCAPD3
52074|SATB1,0.2039367472389883,SATB1
47457|SOX4,0.20822049178140598,SOX4
35557|SFMBT1,0.21023059169245806,SFMBT1
4513|RFX1,0.21192456831151119,RFX1
56094|BAZ1A,0.21264857083496055,BAZ1A
36217|CUX2,0.21763505790881,CUX2
53015|SCML2,0.21973302106632994,SCML2
52982|ARID1A,0.22876286334233137,ARID1A
49167|SUV39H2,0.22956090228535803,SUV39H2
56036|RFX3,0.2361570349065298,RFX3
35710|EOMES,0.2380691974503646,EOMES
49082|GM6871,0.23819429770141495,GM6871
53868|HOPX,0.24183267920653365,HOPX
53645|NLRP3,0.2418574708026314,NLRP3
47620|KANSL3,0.24689791030331126,KANSL3
51128|DNMT3B,0.2543290418603031,DNMT3B
35722|ELF5,0.26367593810569884,ELF5
35211|NCOA3,0.2782999587592381,NCOA3
59433|HEY2,0.2874525302741627,HEY2
5979|HOXC9,0.29860193571943316,HOXC9
3292|GTF2A1,0.3091401364756295,GTF2A1
41874|DNMT3L,0.31258496964334254,DNMT3L
56273|AEBP2,0.3172680215463914,AEBP2
49496|CDK7,0.32219991810431664,CDK7
51241|RFX5,0.32352772659970436,RFX5
58629|DZIP3,0.3452381804919173,DZIP3
55632|SOX10,0.3453841109944732,SOX10
"35263|PKNOX1, PKNOX2",0.350600172009854,"PKNOX1, PKNOX2"
44846|BCL11A,0.3615636325154625,BCL11A
51967|TBX19,0.3682140016378298,TBX19
418|MYCN,0.3739563284538924,MYCN
36669|NR2F2,0.39664601682067135,NR2F2
37574|PHOX2A,0.39886326737931577,PHOX2A
39349|MTOR,0.41752605932839515,MTOR
41427|ZNF322A,0.4225506269073512,ZNF322A
47833|SRC,0.4282775425160694,SRC
41315|KDM4B,0.452240382877352,KDM4B
2816|ATF7IP,0.4970047814034829,ATF7IP
52238|RUVBL1,0.5107564508442288,RUVBL1
39355|ESRRA,0.5164091293985105,ESRRA
33940|EHF,0.5221677093146486,EHF
50391|NFIL3,0.5589532319931507,NFIL3
41868|TLE,0.5619653506201743,TLE
47617|MSL2,0.5897686562523274,MSL2
404|DPY30,0.616208683233016,DPY30
33909|GLI1,0.6308119570188357,GLI1
34005|LHX3,0.633318754037149,LHX3
43043|THAP11,0.6627228862098002,THAP11
50217|FOXK1,0.67138558672725,FOXK1
52111|INSM1,0.6736619773609793,INSM1
40276|RBPJL,0.6813251752080356,RBPJL
38059|KDM5C,0.6973610043014231,KDM5C
49690|DMRTB1,0.7132844763125645,DMRTB1
58496|KAT5,0.714343569354835,KAT5
50445|AUTS2,0.7876196956222526,AUTS2
57122|IKZF2,0.7892052062002091,IKZF2
58557|PDX1,0.7899084250237602,PDX1
438|ZFX,0.8314153804082667,ZFX
47427|INO80,0.9367692267890653,INO80
43178|CXXC1,0.9433715183303262,CXXC1
54552|ONECUT1,0.9617099135341143,ONECUT1
56061|GABPA,0.9825128738055928,GABPA
9241|MYF5,0.983514121389448,MYF5
48059|NSL1,0.9953422830416222,NSL1
40294|NKX6-1,0.9971424797195058,NKX6-1
