,0,TF
MS00780|SOX9,0.6372369381654291,SOX9
MS00807|MSC,0.6387047291950685,MSC
UP00401|SOX4,0.6425730689304403,SOX4
MS00628|Vsx1,0.6502717296693622,Vsx1
M01734|NFATC4,0.653406369391763,NFATC4
MC00396|Nr3c1,0.658120806007124,Nr3c1
MC00514|Cbfa2t2,0.663545221387136,Cbfa2t2
UP00023|Sox30,0.667585178255371,Sox30
MC00327|Gata1,0.6699058100281702,Gata1
MS00596|PITX3,0.6734623981510097,PITX3
MC00324|Gata4,0.6847951669495702,Gata4
MS00045|GATA5,0.6889353742778335,GATA5
MS00436|DPRX,0.6894748281449798,DPRX
MS00526|IRX2,0.6913972269714161,IRX2
MS00464|GSC,0.6922764678191788,GSC
UP00055|HBP1,0.6951360092596202,HBP1
UP00261|LHX4,0.6983750529517664,LHX4
