GENE,cluster1,cluster2,cluster3,cluster4
FAM13B,0.9999990682265383,3.842167062013786e-11,9.317350403313569e-07,0.0
FAM174B,1.1112156628326506e-32,8.46466471529819e-05,0.999915353352848,0.0
FAM184A,0.87351209723149,1.1094652232824127e-05,0.12647680811627734,0.0
FAM189A2,5.70546342160567e-141,0.013626668810833345,0.986373331189166,0.0
FAM205C,3.094121537033996e-257,0.9999653072412003,3.469275879853617e-05,0.0
FAM20A,1.4714614391036241e-111,0.0015462314566826697,0.9984537685433176,0.0
FAM214A,0.9990893014991666,3.730786159257562e-08,0.0009106611929722902,0.0
FAM214B,0.9999935965671481,2.266835593277938e-10,6.4032061681414125e-06,0.0
FAM222A,7.203711071327258e-261,0.9999361985527062,6.380144729273217e-05,0.0
FAM43A,6.376596274196668e-23,0.0005084034192650001,0.9994915965807355,0.0
FAM47E,0.9999900275049604,3.6486251800455403e-10,9.972130177181428e-06,0.0
FAM78A,6.251936965077506e-74,0.08963601539954015,0.9103639846004585,0.0
FAM83A,6.341400416224625e-56,0.001196878679215756,0.9988031213207841,0.0
FAM89A,4.7416404889495145e-102,0.8997550375912243,0.10024496240877669,0.0
FAM95C,0.8162174999242534,9.981909337783996e-06,0.18377251816640922,0.0
FAS,0.9984383556277557,8.15891708704203e-08,0.001561562783073327,0.0
FBLN5,2.704711426326251e-38,0.0031040852298451385,0.9968959147701548,0.0
FBLN7,1.0454640589690789e-23,7.937097919287332e-05,0.9999206290208074,0.0
FBXL8,0.0,1.0,8.129689886682104e-27,0.0
FBXO43,0.9999897485330896,4.130466299481914e-10,1.0251053863558918e-05,0.0
FERMT3,0.9999963274410485,1.7698914320598116e-10,3.672381962395566e-06,0.0
FES,0.9997190342649042,2.235223002513921e-08,0.0002809433828660807,0.0
FGF18,1.2849862878739962e-18,0.00013073948205115054,0.9998692605179494,0.0
FGF19,0.0,0.9999999999999751,2.521902656930988e-14,0.0
FGF8,7.4e-323,0.9999999999017746,9.82263040174164e-11,0.0
FGFR3,0.0,0.9999999999999964,1.9505037604084637e-15,0.0
FGFRL1,2.852140088848095e-136,0.999997167921211,2.8320787902562998e-06,0.0
FHAD1,1.5441968283731267e-123,0.012165470033718699,0.9878345299662811,0.0
FLRT3,0.999989195008185,4.32781880118676e-10,1.0804559033125908e-05,0.0
FLVCR2,1.3751017862009349e-56,0.0017146750481449786,0.9982853249518546,0.0
FMN2,8.890105996854087e-159,0.007486530246566413,0.9925134697534332,0.0
FMO4,0.9998684827302371,5.503148011698353e-09,0.00013151176661485694,0.0
FN1,3.9503803213189116e-193,0.006553548061650892,0.9934464519383479,0.0
FNDC4,4.839496896133793e-65,0.002616630806834905,0.9973833691931648,0.0
FNDC7,1.0966062161811416e-07,7.370828455531358e-05,0.9999261820548225,0.0
FOLR1,0.9347083868103254,2.227655795735644e-06,0.06528938553387902,0.0
FOSL1,1.8114475117935278e-56,0.005573416023493737,0.9944265839765054,0.0
FOXA1,0.0,1.0,2.7324336101994537e-61,0.0
FOXG1,0.0,1.0,8.122480662265696e-27,0.0
FOXI2,5.889034468126386e-218,0.30230729233969816,0.6976927076603029,0.0
FOXJ1,1.514042985566997e-206,0.8889087423650579,0.11109125763494304,0.0
FOXO6,0.0,0.999999999999968,3.310698661240744e-14,0.0
FREM1,1.2147076002492208e-06,9.276838337241737e-05,0.9999060169090281,0.0
FRMPD4,8.43852652688946e-267,0.9999999120245849,8.79754150609632e-08,0.0
FRRS1L,4.034514095777984e-196,0.07706055508625687,0.9229394449137432,0.0
FSHR,0.9999893081713663,4.585865247027566e-10,1.0691370047155341e-05,0.0
FST,3.316466432520547e-208,0.06455825863824857,0.9354417413617528,0.0
FSTL5,8.237285273975524e-15,8.720255884694337e-05,0.9999127974411457,0.0
FUT3,9.964448042158643e-109,0.011935848940920377,0.9880641510590812,0.0
FZD5,3.035942173600543e-29,0.0005539678257477098,0.9994460321742515,0.0
FZD8,3.8141136874896374e-87,0.000394401537183154,0.9996055984628169,0.0
GAB2,0.9992919495724902,2.156336853208989e-08,0.0007080288641410725,0.0
GABRD,0.0,1.0,4.208830198474442e-22,0.0
GAD1,0.0,0.9999999999999858,1.4402395763309377e-14,0.0
GAL3ST4,1.8566471827692018e-28,0.0001903462248043864,0.999809653775195,0.0
GALR2,2.765725841905106e-97,0.01588921190698956,0.984110788093009,0.0
GAP43,2.0308490502510342e-134,0.02751774232626606,0.9724822576737341,0.0
GAPLINC,0.9999275423299504,3.37669554732877e-09,7.245429335408471e-05,0.0
GAS2L1,2.4197639675922977e-17,7.450992477964704e-05,0.9999254900752212,0.0
GBX2,0.0,1.0,1.2055257155473131e-39,0.0
GCK,1.0235606498557639e-57,0.001510017424711626,0.9984899825752882,0.0
GCNT3,3.8127437038078155e-49,0.0007540482231678713,0.9992459517768313,0.0
GCNT4,0.9979463457601074,3.756643698572447e-07,0.0020532785755230025,0.0
GDA,0.996715096922313,2.6642254657168074e-07,0.0032846366551404784,0.0
GDF10,0.0,0.9986954725943333,0.0013045274056675705,0.0
GDF15,3.5203974401399756e-49,0.0007782106467391186,0.9992217893532608,0.0
GDNF,0.0,0.9999973475573297,2.6524426703199406e-06,0.0
GGN,2.559409394375809e-218,0.9999774322194716,2.2567780528828107e-05,0.0
GIPR,1.1668772204240144e-206,0.9793273763046721,0.020672623695328532,0.0
GJA4,2.5888822127531826e-101,0.00368563985460283,0.9963143601453973,0.0
GJB3,1.6060862827743102e-212,0.5660328826001833,0.4339671173998163,0.0
GJB5,0.0,0.9999999934859112,6.514089912688106e-09,0.0
GJD3,3.091370677654743e-20,0.00011852962482228148,0.9998814703751773,0.0
GLIPR1L1,2.4040796209472014e-22,8.184506920478234e-05,0.9999181549307954,0.0
GLIS3-AS1,0.999649350074927,2.5983500885505735e-08,0.0003506239415719597,0.0
GLYATL2,8.519764736026068e-06,8.470572006962325e-05,0.9999067745151936,0.0
GPC4,0.0,1.0,1.429866742527444e-56,0.0
GPCPD1,0.9999989987369736,4.429920729566296e-11,1.0012187270616457e-06,0.0
GPM6A,0.9995607272604216,1.679705220739852e-08,0.00043925594252650616,0.0
