,Peak0,Peak1,Peak2,Peak3,Peak4,Peak5,Peak6,Peak7,Peak8,Peak9,Peak10,Peak11,Peak12,Peak13
RBM12,0.0240090880886173,0,0.0315238716053977,0.0167939077585778,0,0.0231756591861189,0.0223558600252936,0.124390720521508,0,0.0802419783397015,0.0634140083839117,0.0364519672813986,0,0.0199012425158792
NFS1,0.0038950674177509,0.0294511808913675,0,0,0,0.0121733519714135,0.024719933589941,0.0219560558435639,0.0265049461935607,0,0.04124904586326,0.0192890249639532,0.036935600219224,0.0196982322199734
ROMO1,0.108035902896998,0.166909658541174,0.105451496916652,0.179237711985489,0.180584690281249,0.104719708683909,0.0685306934062909,0.179081325221348,0.0490868879185372,0.161475537422639,0.229506952408075,0.161321503083826,0.0396367431396468,0.126081482397649
RBM39,0.39496082045066,0.599545094059623,0.595795082951978,0.592620115862012,0.429978245984663,0.328750607696693,0.599131077955401,2.0020504116304,0.628696893673768,0.595512980282167,0.895174729595894,0.802016093782935,0.647570145928694,0.586411473912222
PHF20,0.0329788986095435,0.0578812797402627,0.0580835355975873,0.0622905783777663,0.117315905632607,0.034939084523251,0.129490225832505,0.202067313707878,0.0738421491916188,0.238198498297961,0.109701271330102,0.111117487380133,0.0366497886468258,0.0447156874646379
SCAND1,0.595873985060427,0.384775561092103,0.619047610380563,0.346565144950413,0.512127251476882,0.631871899465297,0.249736254492967,0.346115499176401,0.386375909791606,0.175539467055693,0.159973747487808,0.542431112988102,0.150873374937421,0.30292834763355
LINC00657,0.0925529160712163,0.0844972225570786,0.0947756318038929,0.0338050952951276,0.111413691738536,0.0422526855204496,0.0499442587302607,0.0731105782953473,0.194314519183655,0,0.0769285371653212,0.132503043146818,0.0734138436214811,0.0861337171017944
AAR2,0.0227740636487172,0.0578082304950416,0.0450217640268784,0.0625767285473106,0.0633234283583027,0.0102959422465731,0.0227441909198955,0.0287499925421801,0.025760062604265,0,0.0691492845823345,0.0490368775978293,0,0.0483293058300981
DLGAP4,0.0729714344283949,0.0398062420148792,0.0853034800188949,0.0202237319651353,0.05691278623412,0.145295544294237,0.0603885669434456,0,0.0266064793863226,0,0.0140620125314938,0.138208086302534,0,0.225185675690275
MYL9,0,0,0,0,0,0,0.0259275294649064,0,0,0,0.0237300160692684,0.0276220841878434,0,0
TGIF2,0.0246828004947091,0.0389729384553893,0.0348769996527509,0.0223096699003101,0,0.0128168953474905,0.0245609777162982,0.223608149676658,0.0416275343811249,0,0.0427804643619513,0.0644622561916769,0.0421643463467374,0.1394243846815
C20orf24,1.43070836595739,0.292748834306424,1.21031173683955,0.482118320609903,0.57769230558009,0.700428243657668,0.432191059162006,0.804053041651458,0.388333701454979,0.502160512809641,0.597081915696755,0.639356732230891,0.172236352478008,0.369556745476889
SLA2,0.00679097267448908,0.0701574034250204,0,0.232244453090122,0.455906217645436,0.0113628508937125,0.0241906177175118,0.0381615911892208,0.021380958423023,0.596378525168953,0.0150400064499188,0.185774805721302,0,0
NDRG3,0.00752903208310424,0.0293647679751102,0,0.0639859316982225,0.215060437007072,0.0225236088973994,0.0226803562748063,0,0.0272661885207588,0.0678368568833615,0.035396768517254,0.0435425633395956,0.0368691129283914,0.0219902064144931
DSN1,0.0106025660650414,0,0,0.0463430880548616,0.0222062832204755,0.0108387433546831,0.0221741089562034,0,0.0257056824592739,0,0.0166573177255152,0.122268036838161,0.0513034698786911,0
SOGA1,0.00970205732407016,0,0.0299817391997454,0,0,0,0,0,0,0,0.0237300160692684,0,0,0
SAMHD1,0.454157145252488,0.0769592919657922,0.612203824265309,0.0203661212949913,0.0913425446577923,0.48070018960665,0.124299584738633,0.230929509443689,0.127791431959699,0.0678368568833615,0.0362776252066547,0.281379233624995,0.0848526330536451,0.297782555715345
RBL1,0.00431365082825893,0,0.015029906519939,0.0445217242182362,0,0,0,0,0,0,0,0.0188355564094196,0.0344553274429693,0
MROH8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
